asset_id,asset_name,asset_type,region_id,installation_date,asset_age_years,criticality_level,asset_status
1,Energy Unit South-001,Energy Unit,4,2021-11-20,4,High,Active
2,Industrial Equipment NorthWest-002,Industrial Equipment,1,2011-11-30,14,Critical,Maintenance
3,HVAC System NorthEast-003,HVAC System,2,2022-09-16,3,Medium,Active
4,Industrial Equipment NorthWest-004,Industrial Equipment,1,2012-11-23,13,High,Active
5,Industrial Equipment NorthWest-005,Industrial Equipment,1,2016-08-29,9,High,Active
6,Energy Unit NorthWest-006,Energy Unit,1,2016-09-26,9,Medium,Maintenance
7,Smart Meter Islands-007,Smart Meter,5,2012-10-26,13,Medium,Active
8,HVAC System NorthEast-008,HVAC System,2,2019-11-14,6,Medium,Active
9,Smart Meter NorthWest-009,Smart Meter,1,2021-07-21,4,Low,Maintenance
10,HVAC System Central-010,HVAC System,3,2018-08-26,7,Low,Active
11,HVAC System South-011,HVAC System,4,2019-08-08,6,Critical,Active
12,HVAC System NorthEast-012,HVAC System,2,2020-10-19,5,Critical,Active
13,Industrial Equipment Central-013,Industrial Equipment,3,2019-08-08,6,Critical,Maintenance
14,Industrial Equipment Central-014,Industrial Equipment,3,2016-11-10,9,High,Active
15,Industrial Equipment Central-015,Industrial Equipment,3,2021-08-19,4,Medium,Active
16,Industrial Equipment NorthWest-016,Industrial Equipment,1,2015-08-21,10,High,Maintenance
17,Smart Meter Central-017,Smart Meter,3,2018-11-17,7,Low,Active
18,HVAC System NorthWest-018,HVAC System,1,2013-09-26,12,Medium,Active
19,Energy Unit NorthEast-019,Energy Unit,2,2022-10-29,3,High,Active
20,Energy Unit NorthWest-020,Energy Unit,1,2016-07-29,9,High,Active
21,HVAC System Central-021,HVAC System,3,2018-11-05,7,Critical,Active
22,Industrial Equipment Central-022,Industrial Equipment,3,2015-08-06,10,High,Maintenance
23,Energy Unit Central-023,Energy Unit,3,2017-10-19,8,Medium,Active
24,HVAC System NorthEast-024,HVAC System,2,2022-11-04,3,Critical,Active
25,Smart Meter NorthEast-025,Smart Meter,2,2024-11-08,1,Medium,Active
26,Charging Station NorthEast-026,Charging Station,2,2017-08-21,8,High,Maintenance
27,Energy Unit NorthWest-027,Energy Unit,1,2014-12-31,11,Medium,Active
28,HVAC System Central-028,HVAC System,3,2020-10-03,5,Low,Maintenance
29,Energy Unit Islands-029,Energy Unit,5,2015-11-08,10,High,Active
30,Energy Unit South-030,Energy Unit,4,2018-09-21,7,Critical,Active
31,HVAC System NorthEast-031,HVAC System,2,2018-07-08,7,High,Active
32,Smart Meter NorthWest-032,Smart Meter,1,2014-11-18,11,Low,Maintenance
33,Energy Unit Islands-033,Energy Unit,5,2018-07-30,7,Medium,Active
34,HVAC System Islands-034,HVAC System,5,2016-11-19,9,Medium,Maintenance
35,Energy Unit NorthEast-035,Energy Unit,2,2021-07-28,4,Medium,Maintenance
36,Smart Meter Central-036,Smart Meter,3,2017-12-16,8,Low,Maintenance
37,Industrial Equipment NorthWest-037,Industrial Equipment,1,2012-11-06,13,Critical,Active
38,Energy Unit Central-038,Energy Unit,3,2015-10-23,10,Medium,Active
39,Energy Unit NorthWest-039,Energy Unit,1,2013-07-10,12,High,Active
40,Energy Unit Central-040,Energy Unit,3,2016-10-12,9,Medium,Active
41,Energy Unit NorthWest-041,Energy Unit,1,2014-09-20,11,Critical,Active
42,Smart Meter NorthEast-042,Smart Meter,2,2018-07-29,7,Low,Active
43,Industrial Equipment NorthWest-043,Industrial Equipment,1,2016-08-24,9,High,Active
44,Smart Meter Islands-044,Smart Meter,5,2016-11-04,9,Critical,Active
45,HVAC System South-045,HVAC System,4,2014-07-20,11,High,Maintenance
46,Industrial Equipment South-046,Industrial Equipment,4,2024-08-24,1,High,Active
47,Energy Unit NorthWest-047,Energy Unit,1,2017-08-01,8,Critical,Active
48,Smart Meter NorthEast-048,Smart Meter,2,2017-11-08,8,High,Active
49,Industrial Equipment Central-049,Industrial Equipment,3,2018-08-05,7,High,Active
50,Charging Station Central-050,Charging Station,3,2017-12-17,8,Medium,Active
51,HVAC System Islands-051,HVAC System,5,2015-10-27,10,Medium,Maintenance
52,Smart Meter NorthEast-052,Smart Meter,2,2019-10-18,6,Medium,Maintenance
53,HVAC System Islands-053,HVAC System,5,2013-08-14,12,Medium,Active
54,Energy Unit NorthWest-054,Energy Unit,1,2016-09-10,9,Medium,Active
55,HVAC System NorthEast-055,HVAC System,2,2023-11-12,2,High,Active
56,Charging Station NorthEast-056,Charging Station,2,2020-11-18,5,High,Active
57,HVAC System NorthEast-057,HVAC System,2,2016-08-28,9,Low,Active
58,Industrial Equipment NorthWest-058,Industrial Equipment,1,2013-09-21,12,Critical,Maintenance
59,Industrial Equipment Islands-059,Industrial Equipment,5,2015-08-16,10,Critical,Active
60,HVAC System Central-060,HVAC System,3,2019-07-24,6,Medium,Active
61,Energy Unit NorthWest-061,Energy Unit,1,2015-10-19,10,Critical,Active
62,Industrial Equipment South-062,Industrial Equipment,4,2018-07-15,7,High,Active
63,Charging Station NorthWest-063,Charging Station,1,2017-11-10,8,High,Active
64,Industrial Equipment NorthWest-064,Industrial Equipment,1,2018-11-17,7,Medium,Active
65,Energy Unit NorthWest-065,Energy Unit,1,2012-11-29,13,Critical,Active
