feedback_id,date_id,customer_id,region_id,satisfaction_score,complaint_flag,churn_risk_score
1,20251028,527,3,2.91,False,95.86
2,20250207,604,4,3.98,False,49.6
3,20250329,219,2,4.42,False,28.29
4,20250917,363,3,4.42,False,27.35
5,20250121,69,5,3.31,False,63.28
6,20240223,184,1,3.58,False,58.8
7,20250218,610,2,3.9,False,47.91
8,20240913,737,2,4.63,False,12.15
9,20241014,175,4,3.93,False,68.15
10,20240825,648,4,4.46,False,37.0
11,20250902,449,5,4.16,False,45.77
12,20241110,426,3,3.57,False,54.3
13,20240317,313,1,3.25,False,89.71
14,20250420,406,1,3.02,False,63.34
15,20240203,206,1,3.38,False,61.5
16,20240318,137,5,1.98,True,100.0
17,20240302,12,2,4.28,False,14.18
18,20250130,293,3,4.28,False,19.87
19,20240227,41,1,3.81,False,56.68
20,20251017,256,2,4.13,False,70.18
21,20250107,227,1,3.56,False,63.57
22,20250127,485,2,3.98,False,53.3
23,20240917,278,1,2.4,False,76.59
24,20241207,466,3,4.18,False,35.6
25,20251127,629,1,2.78,False,88.41
26,20240704,740,1,3.53,False,61.25
27,20240712,317,1,3.43,False,56.88
28,20251108,454,1,3.77,False,57.73
29,20250628,676,3,3.94,False,44.47
30,20251108,672,3,4.09,False,42.46
31,20251016,240,3,3.39,False,76.92
32,20240612,592,2,3.78,False,51.97
33,20250226,244,2,4.22,False,50.14
34,20240714,170,5,2.9,False,69.03
35,20250211,122,3,4.2,False,50.11
36,20250603,669,2,4.67,False,26.96
37,20250424,488,1,2.65,False,54.54
38,20250725,199,1,3.15,False,67.52
39,20250101,590,1,4.69,False,46.78
40,20251027,440,1,2.93,False,87.47
41,20250602,85,3,3.95,False,36.68
42,20241227,643,1,3.15,False,66.48
43,20240103,125,2,4.2,False,20.25
44,20251104,264,1,3.3,False,68.49
45,20250304,191,2,4.81,False,19.66
46,20240310,314,4,3.98,False,50.3
47,20250202,500,4,3.67,False,54.99
48,20250302,31,5,3.02,True,74.05
49,20241007,201,4,3.21,False,57.58
50,20240131,332,2,3.94,False,51.21
51,20240408,547,5,3.47,False,80.04
52,20240310,175,4,4.27,False,28.44
53,20250409,410,3,3.42,False,44.8
54,20250522,77,1,3.89,False,37.93
55,20251225,350,1,3.69,False,52.91
56,20250102,60,2,3.26,False,89.94
57,20250409,300,2,4.16,False,35.74
58,20241101,690,2,3.74,False,38.52
59,20240907,673,4,2.84,False,88.34
60,20250614,451,4,4.25,False,56.61
61,20250717,123,1,3.3,False,57.7
