esg_id,date_id,region_id,asset_id,energy_consumption_kwh,co2_emissions_kg,water_consumption_m3,waste_kg,renewable_energy_share
1,20250313,2,213,711.39,200.75,3.11,2.97,39.45
2,20240317,5,180,2197.29,754.55,7.46,30.1,24.15
3,20240820,1,145,153.16,49.55,0.86,2.04,29.12
4,20240417,1,106,1709.24,567.26,11.03,14.78,27.03
5,20250819,1,201,847.51,273.58,3.29,8.4,29.3
6,20250805,3,193,87.11,26.56,0.41,0.49,33.77
7,20240315,5,222,589.23,193.43,3.74,3.91,27.93
8,20250604,1,64,1346.34,433.52,4.94,10.2,29.5
9,20240418,1,75,2167.17,737.36,12.43,8.71,24.94
10,20250102,2,228,1159.25,345.32,5.72,10.01,35.53
11,20240720,2,55,537.76,158.51,1.51,3.86,36.31
12,20240331,1,111,177.06,61.72,0.61,1.82,22.86
13,20240525,4,221,757.7,247.77,2.55,8.01,28.25
14,20240420,5,81,1588.71,521.48,9.02,19.23,27.94
15,20251105,1,106,1875.35,605.96,7.03,17.37,29.22
16,20251117,3,236,532.51,163.29,1.98,2.78,33.34
17,20240830,1,151,486.37,167.0,2.27,3.35,24.16
18,20251020,1,153,1847.68,592.14,8.18,10.65,29.88
19,20251001,5,59,1173.35,349.24,6.7,10.81,35.59
20,20240616,4,239,260.81,84.98,1.19,3.41,28.54
21,20250920,1,160,130.32,41.62,0.59,0.79,30.16
22,20250510,1,181,1518.28,492.35,6.13,7.52,28.93
23,20250429,1,18,1072.2,343.4,5.77,11.26,29.93
24,20250326,1,245,1655.7,547.71,8.93,13.82,27.3
25,20250129,2,238,108.88,31.64,0.38,1.04,37.36
26,20240309,2,114,741.76,231.55,3.72,5.4,31.96
27,20240403,4,163,1238.15,404.83,3.5,7.31,28.26
28,20251111,3,211,1444.71,420.47,5.69,17.0,37.24
29,20251204,1,196,1294.74,407.33,8.12,17.43,31.35
30,20250226,3,225,1687.67,549.1,10.4,10.87,28.66
31,20240704,1,133,1118.21,373.57,5.27,10.23,26.48
32,20251205,2,217,97.07,25.8,0.27,0.5,43.56
33,20251208,5,44,133.8,41.86,0.78,0.64,31.79
34,20240923,3,244,317.47,101.57,1.23,4.37,30.02
35,20240111,1,164,2582.4,857.77,9.43,29.29,26.96
36,20250708,4,1,1143.65,345.15,3.02,8.0,34.55
37,20251022,2,112,96.29,25.57,0.58,0.77,43.62
38,20240203,3,216,1452.11,467.41,8.65,19.21,29.53
39,20240624,3,206,100.14,32.38,0.48,0.83,29.16
40,20240522,1,93,1421.71,486.74,6.85,14.47,24.41
41,20240115,1,181,2478.03,844.61,6.34,23.22,24.79
42,20240821,5,189,1806.54,597.03,11.59,16.84,27.38
43,20251013,3,78,1384.12,406.88,4.51,7.65,36.51
44,20241205,1,229,2036.58,666.61,9.29,25.09,28.17
45,20240820,5,159,350.71,118.41,1.22,3.28,25.59
46,20240426,1,77,123.49,42.26,0.56,0.85,24.44
47,20240613,1,37,1546.56,524.84,8.99,15.91,25.16
48,20240202,3,94,789.9,269.58,4.33,9.31,24.68
49,20250221,2,197,1538.29,457.73,8.38,7.7,35.61
50,20240111,1,224,1594.56,553.82,9.29,16.1,23.17
51,20240905,4,178,395.98,128.65,1.04,5.15,28.78
52,20240723,5,155,120.81,40.39,0.58,1.11,26.42
53,20250226,1,6,2180.12,695.55,8.2,22.64,30.24
54,20251203,2,95,1340.89,369.98,4.96,8.47,41.02
55,20251224,1,182,2692.85,851.8,17.43,11.96,30.92
56,20241023,4,144,1737.34,557.34,8.69,19.87,29.8
57,20250802,5,175,99.18,30.17,0.41,0.91,33.94
58,20250417,5,130,393.45,124.64,2.1,3.15,30.8
59,20240525,1,79,1653.88,535.06,5.65,19.43,29.12
60,20250213,2,228,1299.56,384.25,4.12,5.21,36.08
61,20240726,5,96,675.54,219.5,2.61,7.98,28.77
62,20241115,1,86,2691.79,897.12,16.48,32.68,26.68
63,20240706,2,48,72.91,21.45,0.2,0.37,36.45
64,20251209,4,156,1671.51,494.1,6.38,14.72,36.1
65,20240608,5,53,893.06,300.82,2.64,10.92,25.79
66,20240306,5,187,508.64,170.09,3.02,7.09,26.4
67,20250815,1,43,1370.0,455.61,8.3,11.92,26.86
68,20250826,3,98,1495.6,430.61,4.8,18.58,38.02
69,20240425,4,176,116.82,39.4,0.37,1.37,25.68
70,20251001,1,89,2549.61,844.74,10.98,17.92,27.17
71,20241017,5,59,1250.56,408.13,6.96,5.91,28.41
72,20251116,4,144,1648.01,511.21,7.12,14.85,32.45
73,20240907,2,83,885.29,263.25,4.89,11.78,35.66
74,20250113,5,34,843.72,276.44,3.08,10.89,28.09
75,20250528,3,99,976.21,292.94,3.95,10.73,34.98
76,20240814,3,236,325.74,101.62,2.0,4.09,32.01
77,20250221,5,175,167.04,53.58,0.81,1.61,29.81
78,20241227,5,34,1158.48,374.28,5.12,10.73,29.23
79,20250908,3,226,296.24,88.98,1.33,2.55,34.91
80,20241130,1,39,2292.28,773.14,10.5,12.84,25.68
81,20250824,5,76,546.89,172.9,1.69,6.62,30.96
82,20240105,1,160,193.59,67.27,1.19,1.52,23.13
83,20240712,1,237,1195.56,393.29,5.12,14.72,27.76
84,20240917,5,249,1887.36,629.62,5.01,15.76,26.6
85,20251009,1,133,1617.67,513.71,6.51,15.56,30.61
86,20250605,3,236,352.62,107.52,1.19,3.01,33.77
87,20250730,4,221,635.27,205.8,3.13,3.57,29.01
88,20251024,1,142,607.31,178.23,1.65,2.82,36.63
89,20250507,2,74,314.99,85.32,1.47,4.14,42.28
90,20250109,5,155,164.11,53.57,0.42,0.87,28.4
91,20241215,3,98,1981.79,606.67,12.4,23.38,33.47
92,20250225,3,60,962.63,306.46,5.11,5.06,30.41
93,20250319,1,93,1702.48,547.59,6.54,17.21,29.59
94,20250522,2,217,89.25,25.33,0.46,0.74,39.06
95,20250720,1,185,116.52,37.1,0.48,0.53,30.4
96,20240620,3,168,81.35,26.39,0.43,0.77,28.9
97,20240501,1,145,164.74,56.2,0.61,1.65,24.71
98,20240520,1,181,1889.58,625.98,5.84,21.03,27.18
99,20250718,1,246,469.6,149.56,1.56,2.05,30.38
100,20241015,2,26,398.05,115.48,2.41,4.16,37.47
101,20250901,5,184,137.46,42.12,0.69,0.84,33.39
102,20240918,1,135,146.42,48.31,0.52,1.92,27.52
103,20250711,4,11,593.21,179.24,1.88,5.13,34.46
104,20240210,1,245,1779.96,590.09,8.11,9.77,27.12
105,20250908,1,89,2004.86,645.56,5.61,13.56,29.5
106,20240710,5,81,1284.67,428.36,4.74,9.95,26.64
107,20240517,1,135,165.35,55.65,1.0,1.36,25.86
108,20240122,5,159,493.77,170.35,1.73,5.37,23.75
109,20241014,5,234,1526.15,503.69,7.7,18.54,27.49
110,20240610,2,198,69.76,21.08,0.35,0.42,34.45
111,20250828,1,118,172.39,54.56,0.66,2.18,30.87
112,20241220,1,160,190.58,60.58,0.6,1.9,30.53
113,20250719,1,227,1563.93,498.33,9.73,11.19,30.34
114,20240301,1,4,1624.5,562.01,7.94,10.37,23.51
115,20240821,3,23,1391.73,450.53,4.56,19.07,29.07
116,20241012,4,200,614.76,194.14,2.65,2.65,31.05
117,20250908,1,166,1736.06,549.29,5.74,17.86,30.9
118,20250409,4,46,810.58,244.73,4.36,5.04,34.52
119,20251226,5,249,2331.3,723.82,14.98,11.53,32.38
120,20241008,2,212,1063.2,305.05,4.06,6.46,38.27
121,20241219,3,123,663.29,203.74,3.64,9.08,33.21
122,20250626,4,1,1033.53,318.78,5.42,11.0,32.89
123,20250812,1,231,1691.57,542.93,10.5,10.87,29.76
124,20250825,5,29,1373.69,420.68,4.08,19.16,33.44
125,20240221,4,46,1108.68,377.22,4.81,15.35,24.94
126,20240528,4,144,1170.39,374.99,5.77,11.52,29.9
127,20251202,1,122,1841.48,588.46,6.98,16.84,30.11
128,20251115,1,220,2148.53,667.51,13.0,25.89,32.33
129,20240906,5,189,1544.12,531.18,4.17,19.43,24.0
130,20240817,1,126,1416.76,497.57,7.25,16.62,22.2
131,20240803,4,170,635.72,210.4,4.0,5.6,27.26
132,20251025,2,90,90.89,25.53,0.5,0.61,39.79
133,20250211,4,152,431.39,133.78,2.4,5.28,32.47
134,20251209,1,231,2310.32,722.39,9.15,30.86,31.83
135,20240530,2,228,1161.09,352.69,2.97,14.73,34.06
136,20240216,1,194,148.44,51.39,0.6,2.0,23.45
137,20241107,3,102,115.57,35.63,0.44,1.43,32.92
138,20251122,3,167,756.63,238.55,4.28,8.6,31.18
139,20250530,4,156,1396.83,406.09,6.34,17.82,37.32
140,20251012,5,81,1891.01,574.49,9.92,22.46,34.05
141,20240805,1,5,1483.21,498.6,5.06,6.79,25.96
142,20240920,2,84,297.29,87.01,1.0,2.09,36.83
143,20250606,1,132,391.92,121.42,1.12,1.79,32.55
144,20240811,1,18,760.04,256.77,4.06,6.64,25.54
145,20250717,3,15,884.75,267.3,2.64,9.11,34.47
146,20250412,4,120,1001.06,309.65,4.86,8.36,32.67
147,20241119,5,249,1957.21,634.37,5.54,13.4,28.97
148,20240505,3,38,1610.79,508.88,6.23,17.92,31.02
149,20250619,5,130,375.97,122.1,1.33,3.6,28.81
150,20240126,5,184,121.44,40.49,0.66,1.55,26.65
151,20250803,2,97,1083.91,314.16,6.13,6.28,37.54
152,20250722,3,167,589.17,175.38,2.71,8.01,35.58
153,20250108,1,119,518.06,171.93,3.31,3.98,27.03
154,20240426,4,221,872.05,292.24,4.58,6.9,26.22
155,20241207,4,101,350.91,112.07,1.48,4.69,30.16
156,20240524,4,208,640.83,213.52,3.88,7.23,26.7
157,20250331,1,43,1619.05,517.45,9.25,20.53,30.1
158,20240718,1,160,109.71,37.33,0.49,0.88,24.94
159,20251224,1,89,2886.44,830.02,14.9,25.72,38.11
160,20240717,2,87,1214.54,356.25,6.98,16.91,36.67
161,20250320,1,145,218.01,71.23,0.59,1.03,28.32
162,20250429,1,119,453.97,143.13,2.65,2.47,31.18
163,20240715,1,164,1521.83,493.74,4.09,18.23,28.89
164,20250414,5,137,733.28,231.69,2.0,6.41,31.01
165,20250105,1,2,1790.63,599.86,6.8,24.27,26.25
166,20251203,4,101,416.97,126.73,1.11,5.8,34.02
167,20240101,3,98,1653.28,533.41,6.9,18.14,29.34
168,20240203,3,103,136.26,45.73,0.5,0.96,26.1
169,20240119,1,16,1789.91,614.51,9.09,21.16,24.17
170,20240424,3,165,1281.83,411.57,5.8,7.91,29.73
171,20240610,3,94,685.43,217.94,3.33,7.63,30.51
172,20241101,1,199,187.3,61.46,0.87,2.21,27.96
173,20240712,3,233,382.48,122.12,1.25,5.32,30.18
174,20240519,1,79,1905.69,639.24,5.34,14.15,26.14
175,20250621,3,127,582.43,181.23,3.16,4.28,32.21
176,20250423,1,75,2106.18,677.68,9.11,8.7,29.56
177,20240121,5,85,909.16,299.8,5.23,11.61,27.56
178,20240509,1,58,1752.33,608.41,9.18,11.23,23.2
179,20240106,3,165,1805.9,599.41,8.37,20.91,27.02
180,20250803,4,80,983.4,314.06,5.75,7.69,30.16
181,20250616,3,206,78.38,23.94,0.25,0.72,33.65
182,20250718,1,145,144.04,46.27,0.72,1.55,29.7
183,20250327,1,20,2447.74,779.56,10.82,11.53,30.38
184,20240808,4,173,624.65,196.34,1.79,8.56,31.42
185,20241228,3,235,980.01,304.04,5.55,8.3,32.44
186,20240507,2,112,77.95,24.06,0.24,0.36,32.84
187,20251204,1,164,2196.01,674.88,11.7,25.22,33.17
188,20250329,3,211,1379.9,414.19,6.05,9.02,34.96
189,20240511,5,7,120.07,41.83,0.53,1.22,22.91
190,20251118,2,48,91.89,26.38,0.29,0.66,38.24
191,20240803,1,164,1653.24,533.67,9.16,15.55,29.3
192,20250301,3,138,1403.41,415.13,3.61,16.46,36.05
193,20240929,1,64,1473.76,460.28,7.87,9.25,31.92
194,20240507,3,148,1146.09,381.92,3.33,11.61,26.69
195,20240730,5,130,344.91,113.25,1.01,3.65,27.91
196,20251012,2,108,83.58,23.46,0.4,0.99,39.84
197,20250203,5,230,1817.4,584.91,7.14,9.06,29.54
198,20251230,1,224,1853.72,586.89,11.61,18.46,30.85
199,20240725,1,160,117.33,38.1,0.72,1.56,28.82
200,20240529,1,182,2014.96,671.22,10.74,18.5,26.72
201,20240412,2,74,316.24,96.73,1.12,4.06,33.53
202,20241001,3,165,1465.96,473.21,5.24,6.33,29.3
203,20240130,1,79,2565.09,889.27,14.11,27.41,23.33
204,20251118,1,135,138.33,42.65,0.52,0.61,32.92
205,20241229,4,80,1212.44,391.13,6.19,8.59,29.35
206,20250703,3,236,391.99,118.84,1.52,4.4,34.21
207,20250614,4,239,338.18,106.73,1.65,2.78,31.1
208,20240808,1,147,945.38,320.33,4.11,5.33,25.29
209,20250918,4,208,668.0,194.25,2.36,7.58,37.3
210,20250115,4,144,1434.26,459.88,6.99,14.02,29.84
211,20240229,1,160,164.64,56.75,0.59,2.09,23.83
212,20250419,1,194,109.51,36.18,0.42,0.88,27.41
213,20251012,1,177,162.77,51.06,0.49,1.28,31.57
214,20241120,1,88,172.02,56.57,0.98,1.86,27.79
215,20241013,5,81,1911.84,647.12,7.88,11.52,25.38
216,20240103,3,103,141.53,47.08,0.64,0.82,26.84
217,20250527,1,201,969.95,312.75,6.17,9.74,29.39
218,20250430,2,114,796.67,220.96,4.74,10.36,40.66
219,20240102,4,136,2017.35,648.62,10.98,17.8,29.62
220,20240812,3,233,305.1,92.54,1.48,3.84,34.17
221,20240403,5,155,140.46,46.81,0.41,1.94,26.68
222,20250912,1,220,1947.26,617.59,9.38,14.48,30.71
223,20250806,2,12,575.29,167.73,1.92,7.21,37.11
224,20251119,2,57,692.18,189.16,4.13,8.71,41.68
225,20240320,4,121,523.31,168.36,2.86,5.74,29.57
226,20250308,5,174,138.02,45.97,0.59,1.49,26.74
227,20240426,4,72,1683.11,562.7,7.88,8.23,26.42
228,20241209,3,226,404.09,128.34,1.97,5.09,30.6
229,20251215,3,148,1578.78,476.6,6.77,14.93,34.53
230,20240106,1,88,231.6,78.89,1.05,1.42,24.84
231,20241214,3,49,1445.0,451.13,8.06,14.1,31.95
232,20251129,2,238,82.76,23.14,0.29,0.69,40.1
233,20240112,5,155,133.58,44.46,0.61,1.8,26.79
234,20241020,5,222,408.23,131.24,1.8,4.31,29.63
235,20250209,3,123,666.82,204.69,3.35,3.54,33.26
236,20250404,1,93,1757.92,575.05,7.1,11.78,28.22
237,20241209,2,197,1354.57,400.52,7.94,13.18,36.08
238,20250715,3,49,967.44,281.95,3.77,4.17,37.14
239,20250326,1,210,540.18,173.42,2.17,5.98,29.74
240,20241019,5,34,938.94,316.87,4.34,4.98,25.63
241,20250107,2,48,123.13,36.58,0.45,0.98,35.72
242,20240329,1,125,1448.8,495.78,9.11,10.05,24.45
243,20251130,5,51,965.8,304.34,5.3,8.14,31.22
244,20250829,1,64,1117.17,352.31,3.95,10.49,31.16
245,20250921,1,218,1126.83,365.72,4.0,15.14,28.86
