finance_id,date_id,region_id,department_id,revenue,operating_cost,maintenance_cost,budgeted_cost,profit
1,20240101,1,1,182582.53,102232.67,13152.83,103002.57,67197.03
2,20240101,1,2,227162.2,133370.07,21336.95,146028.95,72455.18
3,20240101,1,3,1201288.79,767672.96,24341.12,745448.58,409274.71
4,20240101,1,4,986811.84,683159.81,103508.54,708170.42,200143.49
5,20240101,1,5,710839.63,479820.69,138024.92,551888.24,92994.02
6,20240101,1,6,272211.5,175469.11,19924.36,181732.7,76818.03
7,20240101,1,7,557038.37,360063.01,59377.13,397500.82,137598.23
8,20240101,1,8,412915.04,286309.98,36062.31,296190.58,90542.75
9,20240101,2,1,130908.82,66899.5,2360.98,65608.01,61648.34
10,20240101,2,2,171787.2,93761.3,4147.14,99581.55,73878.76
11,20240101,2,3,881434.19,528052.61,4831.09,513805.12,348550.49
12,20240101,2,4,739540.63,469235.77,20085.16,479870.29,250219.7
13,20240101,2,5,510831.31,292502.77,26984.69,291013.32,191343.85
14,20240101,2,6,207322.94,120224.77,4064.39,123046.52,83033.78
15,20240101,2,7,395646.95,231965.98,10969.85,244990.02,152711.12
16,20240101,2,8,290499.47,188381.68,7704.96,185765.96,94412.83
17,20240101,3,1,96425.78,50840.63,5744.36,51851.36,39840.79
18,20240101,3,2,118839.68,67560.9,9515.17,73755.77,41763.61
19,20240101,3,3,610345.01,374313.2,10501.13,362930.47,225530.68
20,20240101,3,4,556570.37,353128.42,43894.66,376051.14,159547.29
21,20240101,3,5,371481.5,231468.38,62363.26,243988.15,77649.86
22,20240101,3,6,146184.08,86415.02,9078.78,87485.67,50690.28
23,20240101,3,7,300374.66,188668.96,26889.32,207681.49,84816.38
24,20240101,3,8,224690.9,144947.01,16828.68,150103.31,62915.21
25,20240101,4,1,61128.64,30101.89,4768.74,32535.74,26258.01
26,20240101,4,2,76069.29,41491.14,7242.5,46132.93,27335.65
27,20240101,4,3,408108.57,241947.95,8825.24,237039.97,157335.38
28,20240101,4,4,322869.98,202371.83,37960.1,207714.66,82538.05
29,20240101,4,5,245898.69,150791.61,53449.44,173655.23,41657.64
30,20240101,4,6,89778.68,50031.7,7836.21,50912.83,31910.77
31,20240101,4,7,177574.82,107036.73,21839.68,112065.11,48698.41
32,20240101,4,8,130618.24,82152.08,13477.63,83400.62,34988.53
33,20240101,5,1,25533.8,13945.43,2867.04,15620.59,8721.33
34,20240101,5,2,32629.69,18775.97,4762.95,20288.8,9090.77
35,20240101,5,3,166281.0,101647.6,6131.02,99968.44,58502.38
36,20240101,5,4,148917.56,106854.72,22652.64,116949.18,19410.2
37,20240101,5,5,101336.45,59457.06,33772.47,70441.45,8106.92
38,20240101,5,6,40545.77,24565.49,4876.84,25659.34,11103.44
39,20240101,5,7,77604.63,50996.23,14440.57,56997.56,12167.83
40,20240101,5,8,57975.97,40502.91,8916.66,45334.56,8556.4
41,20240201,1,1,186356.07,104649.89,14243.69,108036.21,67462.49
42,20240201,1,2,245654.2,143876.91,24993.97,147627.93,76783.32
43,20240201,1,3,1191560.05,775561.13,30676.53,820963.39,385322.39
44,20240201,1,4,1086603.77,723075.21,119286.55,770913.77,244242.01
45,20240201,1,5,749219.18,486584.06,161823.32,537393.86,100811.8
46,20240201,1,6,274244.38,174553.75,23488.9,183364.5,76201.73
47,20240201,1,7,579543.81,366078.09,67117.9,373453.72,146347.82
48,20240201,1,8,428694.13,295246.66,42719.72,303350.99,90727.75
49,20240201,2,1,137357.71,68901.46,2875.39,72722.78,65580.86
50,20240201,2,2,166887.75,91336.42,5004.18,95868.93,70547.15
51,20240201,2,3,861661.17,512554.52,6036.43,521557.23,343070.22
52,20240201,2,4,719906.69,461302.2,22186.11,473422.33,236418.38
53,20240201,2,5,556948.49,317302.7,31414.35,343819.78,208231.44
54,20240201,2,6,212084.19,125962.21,4583.0,128923.11,81538.98
55,20240201,2,7,404622.86,235956.95,14217.89,230365.44,154448.02
56,20240201,2,8,297757.63,188437.74,8457.12,193535.73,100862.77
57,20240201,3,1,103709.13,53641.96,1906.79,53532.33,48160.38
58,20240201,3,2,122424.92,66928.19,3478.75,69124.57,52017.98
59,20240201,3,3,626365.8,373032.47,3758.06,370947.93,249575.27
60,20240201,3,4,567114.27,378349.3,15396.0,387570.18,173368.97
61,20240201,3,5,387382.53,244904.4,23292.49,244076.25,119185.64
62,20240201,3,6,146847.55,85683.1,3376.67,91085.66,57787.78
63,20240201,3,7,294127.69,178174.74,9301.87,187363.74,106651.08
64,20240201,3,8,229252.16,152122.41,5599.47,148529.89,71530.28
65,20240201,4,1,62746.25,31204.66,3880.24,33679.67,27661.35
66,20240201,4,2,78917.67,42519.63,6192.47,43455.09,30205.57
67,20240201,4,3,411422.08,233022.21,7123.68,234378.01,171276.19
68,20240201,4,4,344786.38,217855.25,29217.85,231687.48,97713.28
69,20240201,4,5,249111.7,145670.13,41504.91,165894.71,61936.66
70,20240201,4,6,95758.47,55716.33,6347.85,58356.12,33694.29
71,20240201,4,7,185181.0,108914.47,16568.61,111863.31,59697.92
72,20240201,4,8,144836.21,90174.91,11558.27,95000.87,43103.03
73,20240201,5,1,26544.1,13963.02,3164.4,15068.3,9416.68
74,20240201,5,2,33417.37,19419.33,5550.26,22038.29,8447.78
75,20240201,5,3,168125.31,107550.01,6310.7,110214.53,54264.6
76,20240201,5,4,148569.54,104928.45,26718.7,109960.57,16922.39
77,20240201,5,5,104672.62,56901.89,39396.92,68890.8,8373.81
78,20240201,5,6,41288.55,25830.5,5700.54,27326.88,9757.51
79,20240201,5,7,80871.47,50577.1,15400.02,58687.61,14894.35
80,20240201,5,8,61717.89,42607.69,10092.06,47240.07,9018.14
81,20240301,1,1,198328.8,109730.98,16791.36,115130.8,71806.46
82,20240301,1,2,247648.41,141760.0,27252.14,150053.25,78636.27
83,20240301,1,3,1266261.29,789617.87,35399.35,821615.55,441244.07
84,20240301,1,4,1129980.18,749655.12,129210.7,814355.63,251114.36
85,20240301,1,5,780796.84,514962.76,189808.78,555214.23,76025.3
86,20240301,1,6,303341.45,190935.3,29010.83,207932.64,83395.32
87,20240301,1,7,603841.37,390172.33,76393.33,428869.32,137275.71
88,20240301,1,8,463363.76,325946.41,50195.92,360294.67,87221.43
89,20240301,2,1,138017.13,69897.43,3425.26,74258.52,64694.44
90,20240301,2,2,184154.86,97692.45,5781.85,96688.07,80680.56
91,20240301,2,3,956045.71,564277.08,6476.93,562822.7,385291.7
92,20240301,2,4,749386.21,477683.03,27248.7,509048.17,244454.48
93,20240301,2,5,561820.31,333868.08,36576.19,357210.54,191376.04
94,20240301,2,6,218080.77,128500.86,5717.16,124380.98,83862.75
95,20240301,2,7,433971.26,256857.62,15601.96,255125.56,161511.68
96,20240301,2,8,323716.75,209159.91,10435.4,211094.45,104121.44
97,20240301,3,1,108217.17,57588.56,5540.61,57159.1,45088.0
98,20240301,3,2,129975.03,74567.56,8794.44,74284.59,46613.03
99,20240301,3,3,666392.91,415490.01,10792.14,428576.69,240110.76
100,20240301,3,4,567743.69,371619.48,43104.33,385184.55,153019.88
101,20240301,3,5,432994.71,276720.66,62647.76,288579.74,93626.29
102,20240301,3,6,157179.18,92414.51,8982.47,100087.81,55782.2
103,20240301,3,7,311262.33,197421.07,23997.51,215695.84,89843.75
104,20240301,3,8,236427.22,158665.23,16066.31,171990.83,61695.68
105,20240301,4,1,62306.38,31074.89,3486.26,32376.83,27745.23
106,20240301,4,2,79454.96,42598.24,5664.91,44018.92,31191.81
107,20240301,4,3,406105.54,236374.03,6720.99,232370.1,163010.52
108,20240301,4,4,353998.49,222760.0,27760.85,236343.35,103477.64
109,20240301,4,5,266996.8,160027.4,36947.37,167369.52,70022.03
110,20240301,4,6,96351.37,55001.64,5844.02,56752.81,35505.71
111,20240301,4,7,186364.71,110167.51,15504.74,117424.16,60692.46
112,20240301,4,8,143127.47,92509.74,9827.29,99433.9,40790.44
113,20240301,5,1,26974.93,14458.17,4113.33,16359.08,8403.43
114,20240301,5,2,34629.13,19896.63,6743.44,21443.82,7989.06
115,20240301,5,3,184524.16,116034.1,8001.16,123556.14,60488.9
116,20240301,5,4,149382.31,107722.25,32616.81,117335.1,9043.25
117,20240301,5,5,112712.73,53777.39,49918.32,68601.99,9017.02
118,20240301,5,6,41743.48,26605.34,6837.18,28962.01,8300.96
119,20240301,5,7,82555.21,53357.51,19047.26,60896.45,10150.44
120,20240301,5,8,63740.03,42350.45,12847.32,46948.01,8542.26
121,20240401,1,1,210722.64,114890.63,12973.74,119545.45,82858.27
122,20240401,1,2,248200.84,147525.8,21505.17,159875.63,79169.87
123,20240401,1,3,1288626.12,811282.99,26704.01,786042.79,450639.12
124,20240401,1,4,1111984.6,749720.69,103736.61,782630.41,258527.3
125,20240401,1,5,853632.8,570140.31,140826.29,646085.31,142666.2
126,20240401,1,6,305993.35,187085.75,21194.62,185493.04,97712.98
127,20240401,1,7,611851.89,402042.49,58470.25,411171.46,151339.15
128,20240401,1,8,466928.3,323692.39,37114.06,320541.7,106121.85
129,20240401,2,1,142353.09,69882.52,3596.89,73361.56,68873.68
130,20240401,2,2,180191.23,99236.96,5801.12,103482.47,75153.15
131,20240401,2,3,930589.61,541920.79,7631.96,552458.86,381036.86
132,20240401,2,4,786133.19,490282.92,28309.36,482011.03,267540.91
133,20240401,2,5,581554.16,332468.6,43947.86,355481.82,205137.7
134,20240401,2,6,212075.99,119968.45,5943.99,120035.33,86163.55
135,20240401,2,7,459204.88,280085.86,16631.45,291296.33,162487.57
136,20240401,2,8,317252.48,199738.63,10481.9,196141.28,107031.95
137,20240401,3,1,114493.73,59674.17,5724.73,61468.83,49094.83
138,20240401,3,2,138196.27,76992.72,8929.25,82511.48,52274.3
139,20240401,3,3,716219.76,426437.22,11402.15,429835.41,278380.39
140,20240401,3,4,591541.21,394900.63,43855.64,390167.96,152784.94
141,20240401,3,5,430345.47,263755.52,66092.58,285897.0,100497.37
142,20240401,3,6,167395.66,97926.74,9788.67,105153.44,59680.25
143,20240401,3,7,331674.46,202795.08,26441.28,213455.68,102438.1
144,20240401,3,8,250771.39,162312.75,17141.44,168194.32,71317.2
145,20240401,4,1,68753.35,34142.57,4006.92,34486.88,30603.86
146,20240401,4,2,85143.0,44738.89,6579.11,45449.41,33825.0
147,20240401,4,3,427841.01,248664.34,8518.15,256560.97,170658.52
148,20240401,4,4,366166.13,225898.65,32294.51,248809.93,107972.97
149,20240401,4,5,275781.66,163790.43,44733.66,177036.2,67257.57
150,20240401,4,6,100051.86,56577.57,6746.41,61308.33,36727.88
151,20240401,4,7,194247.5,112547.71,20174.84,120720.97,61524.95
152,20240401,4,8,145682.92,92223.35,12920.02,98977.62,40539.55
153,20240401,5,1,30235.15,16508.69,2921.88,18118.41,10804.58
154,20240401,5,2,37540.87,21983.8,5447.33,24684.62,10109.74
155,20240401,5,3,189733.61,116643.26,6304.24,120007.36,66786.11
156,20240401,5,4,152238.38,107435.24,25156.58,117134.44,19646.56
157,20240401,5,5,116461.03,73828.92,35417.21,83124.72,7214.9
158,20240401,5,6,42430.73,26892.88,4939.46,27377.35,10598.39
159,20240401,5,7,87914.88,57262.23,14255.27,64875.86,16397.38
160,20240401,5,8,63095.15,42343.47,9184.52,44164.48,11567.16
161,20240501,1,1,207420.68,116117.45,13973.95,115034.51,77329.28
162,20240501,1,2,258290.14,156154.3,24189.96,169243.91,77945.88
163,20240501,1,3,1378151.64,879342.61,28998.38,896585.35,469810.65
164,20240501,1,4,1200052.55,836819.91,116216.75,904707.79,247015.89
165,20240501,1,5,884013.13,593511.06,155729.21,667366.98,134772.86
166,20240501,1,6,323495.03,208782.64,23239.17,225133.53,91473.22
167,20240501,1,7,630464.94,412816.26,68732.97,455776.37,148915.71
168,20240501,1,8,478099.26,326896.88,43641.08,328418.16,107561.3
169,20240501,2,1,155389.87,78763.65,3258.07,76850.61,73368.15
170,20240501,2,2,187993.79,102245.04,5570.64,103019.66,80178.11
171,20240501,2,3,990322.66,599927.73,6506.16,572538.3,383888.77
172,20240501,2,4,841680.79,537741.93,27912.23,572467.77,276026.63
173,20240501,2,5,618357.32,362622.05,39976.68,391205.18,215758.59
174,20240501,2,6,235634.52,140472.88,5775.06,143234.77,89386.58
175,20240501,2,7,439375.98,260434.48,15279.96,268772.73,163661.54
176,20240501,2,8,349792.7,222508.5,9674.93,216774.29,117609.27
177,20240501,3,1,117624.93,59661.94,2054.77,59886.03,55908.22
178,20240501,3,2,140032.76,80648.88,3643.18,79560.03,55740.7
179,20240501,3,3,706466.41,426292.55,4431.75,432397.13,275742.11
180,20240501,3,4,644793.62,430545.55,16951.0,415257.17,197297.07
181,20240501,3,5,455440.2,292093.91,25108.85,288526.31,138237.44
182,20240501,3,6,168715.48,99586.92,3440.06,97097.73,65688.5
183,20240501,3,7,328871.17,200096.51,9584.77,208454.03,119189.89
184,20240501,3,8,258777.69,172984.56,6249.7,178143.09,79543.43
185,20240501,4,1,68077.05,33083.56,4028.86,34987.27,30964.63
186,20240501,4,2,89484.21,46028.74,6325.81,45909.29,37129.66
187,20240501,4,3,432543.71,248569.42,7858.3,242268.57,176115.99
188,20240501,4,4,366765.97,228872.8,31416.6,233160.34,106476.57
189,20240501,4,5,263866.47,156328.5,46177.17,180475.71,61360.8
