maintenance_id,date_id,asset_id,region_id,maintenance_type,downtime_hours,maintenance_cost,failure_detected,technician_team
1,20240618,51,5,Upgrade,15.78,8425.54,False,Central Response Team
2,20241015,35,2,Preventive,2.86,1727.59,False,Central Response Team
3,20240323,124,4,Upgrade,8.26,17681.2,False,Bravo Reliability Team
4,20240803,123,3,Preventive,5.76,2775.8,False,Delta Upgrade Crew
5,20250224,67,2,Corrective,15.47,7770.75,False,Alpha Field Team
6,20240325,197,2,Corrective,28.07,14684.83,True,Delta Upgrade Crew
7,20240514,5,1,Upgrade,9.43,18401.12,False,Central Response Team
8,20240930,229,1,Corrective,44.48,15777.45,True,Alpha Field Team
9,20240917,45,4,Inspection,2.89,2026.65,False,Bravo Reliability Team
10,20240202,86,1,Upgrade,7.81,10063.87,False,Central Response Team
11,20240221,43,1,Preventive,6.26,2556.5,False,Alpha Field Team
12,20250910,140,2,Inspection,1.07,927.79,False,Alpha Field Team
13,20250330,219,3,Preventive,3.01,2072.76,False,Island Logistics Team
14,20250326,175,5,Corrective,21.62,17808.47,True,Delta Upgrade Crew
15,20240812,186,1,Corrective,9.18,9208.84,True,Island Logistics Team
16,20250810,87,2,Preventive,2.62,1399.31,False,Alpha Field Team
17,20240808,217,2,Preventive,1.92,2013.71,False,Island Logistics Team
18,20241028,62,4,Preventive,6.37,1091.5,False,Bravo Reliability Team
19,20240209,175,5,Inspection,2.3,1778.1,False,Alpha Field Team
20,20241009,204,2,Preventive,2.93,1139.69,False,Island Logistics Team
21,20250826,167,3,Corrective,22.65,7843.53,True,Bravo Reliability Team
22,20250913,179,1,Inspection,4.28,1899.77,False,Alpha Field Team
23,20240120,109,4,Upgrade,20.35,11538.26,False,Island Logistics Team
24,20251119,139,4,Corrective,31.76,6775.25,True,Central Response Team
25,20250328,59,5,Corrective,24.3,13476.48,False,Bravo Reliability Team
26,20250917,157,1,Corrective,36.99,12635.54,True,Central Response Team
27,20250323,98,3,Preventive,2.74,2684.61,False,Alpha Field Team
28,20251215,149,5,Inspection,1.41,559.66,False,Central Response Team
29,20240726,114,2,Inspection,2.56,1708.22,False,Bravo Reliability Team
30,20241029,12,2,Corrective,13.62,11394.75,False,Central Response Team
31,20250228,117,5,Upgrade,13.77,13114.34,False,Alpha Field Team
32,20250327,164,1,Corrective,40.42,16456.89,True,Central Response Team
33,20250711,192,1,Preventive,6.04,3483.03,False,Island Logistics Team
34,20250119,106,1,Inspection,2.03,1899.44,False,Alpha Field Team
35,20240307,243,4,Inspection,0.61,1423.0,False,Central Response Team
36,20250628,154,1,Corrective,14.46,19616.88,False,Delta Upgrade Crew
37,20240829,85,5,Corrective,27.07,11432.28,True,Bravo Reliability Team
38,20240411,59,5,Corrective,19.22,13600.59,True,Alpha Field Team
39,20251210,162,4,Corrective,19.37,3332.8,False,Alpha Field Team
40,20240320,163,4,Corrective,28.41,9288.34,False,Alpha Field Team
41,20250905,53,5,Preventive,2.43,4781.25,False,Central Response Team
42,20240819,204,2,Inspection,1.38,1482.06,False,Island Logistics Team
43,20240906,87,2,Inspection,2.3,887.8,False,Island Logistics Team
44,20240709,78,3,Upgrade,16.23,16719.96,False,Alpha Field Team
45,20250903,68,4,Inspection,2.09,1238.6,False,Central Response Team
46,20251012,242,2,Preventive,3.56,2098.53,False,Alpha Field Team
47,20250909,144,4,Corrective,26.07,12797.5,True,Central Response Team
48,20251126,7,5,Inspection,2.67,1946.0,False,Delta Upgrade Crew
49,20250925,149,5,Preventive,1.53,3832.02,False,Bravo Reliability Team
50,20250621,216,3,Inspection,2.36,1417.08,False,Alpha Field Team
51,20240126,132,1,Preventive,6.41,5007.93,False,Island Logistics Team
52,20250208,245,1,Corrective,31.17,20507.69,True,Bravo Reliability Team
53,20241130,32,1,Preventive,4.7,4598.36,False,Island Logistics Team
54,20240618,241,2,Preventive,2.43,1435.94,False,Bravo Reliability Team
55,20251007,214,4,Preventive,5.11,2079.3,False,Island Logistics Team
56,20250610,107,2,Inspection,1.22,643.71,False,Alpha Field Team
