request_id,created_at,resolved_at,date_id,customer_id,region_id,asset_id,request_type,priority,status,sla_target_hours,actual_resolution_hours,within_sla
1,2024-01-06 02:57:00,2024-01-09 09:12:00,20240106,524,3,235.0,Installation Support,Low,Resolved,71.68,78.25,False
2,2025-12-15 19:40:00,2025-12-18 10:08:48,20251215,510,3,,Contract Update,Low,Resolved,68.1,62.48,True
3,2025-08-26 08:10:00,2025-08-29 14:24:24,20250826,342,1,157.0,Performance Review,Low,Resolved,64.95,78.24,False
4,2025-06-16 23:22:00,,20250616,267,1,132.0,Billing Inquiry,Critical,Open,8.6,,
5,2024-09-16 23:29:00,2024-09-17 18:06:48,20240916,405,3,226.0,Emergency Repair,High,Resolved,24.33,18.63,True
6,2025-11-20 01:59:00,2025-11-20 22:32:36,20251120,312,2,,Billing Inquiry,High,Resolved,24.47,20.56,True
7,2024-03-21 02:50:00,2024-03-21 23:38:36,20240321,154,2,67.0,Installation Support,High,Resolved,24.61,20.81,True
8,2024-03-29 10:36:00,2024-03-31 01:49:48,20240329,175,4,80.0,Outage Investigation,Medium,Resolved,52.19,39.23,True
9,2024-09-27 11:15:00,,20240927,238,1,199.0,Contract Update,Medium,In Progress,51.83,,
10,2025-03-29 08:59:00,,20250329,608,3,134.0,Installation Support,Critical,Open,7.36,,
11,2024-02-06 21:15:00,,20240206,660,2,250.0,Emergency Repair,High,In Progress,23.49,,
12,2025-06-26 07:06:00,2025-06-26 12:56:24,20250626,685,4,128.0,Contract Update,Critical,Resolved,8.42,5.84,True
13,2025-04-07 06:08:00,2025-04-09 00:49:24,20250407,575,1,186.0,Preventive Check,Low,Resolved,75.45,42.69,True
14,2025-01-05 00:57:00,2025-01-06 23:30:36,20250105,314,4,,Contract Update,Medium,Resolved,50.01,46.56,True
15,2024-03-23 12:55:00,2024-03-24 23:50:48,20240323,343,2,,Billing Inquiry,Low,Resolved,73.19,34.93,True
16,2024-07-30 02:30:00,2024-07-31 02:13:05,20240730,612,1,,Billing Inquiry,Low,Cancelled,72.68,,
17,2025-07-11 16:04:00,2025-07-12 20:05:12,20250711,156,1,61.0,Billing Inquiry,High,Resolved,23.42,28.02,False
18,2025-12-04 21:39:00,2025-12-08 01:47:24,20251204,458,1,227.0,Billing Inquiry,Low,Resolved,70.11,76.14,False
19,2024-10-29 16:17:00,2024-10-31 03:53:00,20241029,198,1,142.0,Billing Inquiry,Medium,Resolved,44.75,35.6,True
20,2025-12-02 15:36:00,2025-12-04 22:30:36,20251202,189,2,19.0,Performance Review,Low,Resolved,71.72,54.91,True
21,2025-07-29 19:31:00,2025-08-01 03:39:24,20250729,242,1,27.0,Emergency Repair,Medium,Resolved,51.8,56.14,False
