target_id,date_id,region_id,department_id,kpi_name,target_value,target_unit,target_period
1,20240101,1,1.0,Revenue,190782.31,EUR,Monthly
2,20240101,1,1.0,Operating Margin,38.3,Percent,Monthly
3,20240101,1,2.0,Revenue,235348.11,EUR,Monthly
4,20240101,1,2.0,Operating Margin,33.82,Percent,Monthly
5,20240101,1,3.0,Revenue,1256252.47,EUR,Monthly
6,20240101,1,3.0,Operating Margin,34.67,Percent,Monthly
7,20240101,1,4.0,Revenue,1029714.29,EUR,Monthly
8,20240101,1,4.0,Operating Margin,22.13,Percent,Monthly
9,20240101,1,5.0,Revenue,752112.54,EUR,Monthly
10,20240101,1,5.0,Operating Margin,14.6,Percent,Monthly
11,20240101,1,6.0,Revenue,288155.14,EUR,Monthly
12,20240101,1,6.0,Operating Margin,28.99,Percent,Monthly
13,20240101,1,7.0,Revenue,578800.15,EUR,Monthly
14,20240101,1,7.0,Operating Margin,26.43,Percent,Monthly
15,20240101,1,8.0,Revenue,440717.14,EUR,Monthly
16,20240101,1,8.0,Operating Margin,22.67,Percent,Monthly
17,20240101,2,1.0,Revenue,137008.58,EUR,Monthly
18,20240101,2,1.0,Operating Margin,42.0,Percent,Monthly
19,20240101,2,2.0,Revenue,179694.54,EUR,Monthly
20,20240101,2,2.0,Operating Margin,42.0,Percent,Monthly
21,20240101,2,3.0,Revenue,918135.54,EUR,Monthly
22,20240101,2,3.0,Operating Margin,41.06,Percent,Monthly
23,20240101,2,4.0,Revenue,778523.12,EUR,Monthly
24,20240101,2,4.0,Operating Margin,34.74,Percent,Monthly
25,20240101,2,5.0,Revenue,534751.27,EUR,Monthly
26,20240101,2,5.0,Operating Margin,38.91,Percent,Monthly
27,20240101,2,6.0,Revenue,217433.92,EUR,Monthly
28,20240101,2,6.0,Operating Margin,41.78,Percent,Monthly
29,20240101,2,7.0,Revenue,419264.18,EUR,Monthly
30,20240101,2,7.0,Operating Margin,39.87,Percent,Monthly
31,20240101,2,8.0,Revenue,301914.33,EUR,Monthly
32,20240101,2,8.0,Operating Margin,34.39,Percent,Monthly
33,20240101,3,1.0,Revenue,102083.48,EUR,Monthly
34,20240101,3,1.0,Operating Margin,42.0,Percent,Monthly
35,20240101,3,2.0,Revenue,125104.67,EUR,Monthly
36,20240101,3,2.0,Operating Margin,36.33,Percent,Monthly
37,20240101,3,3.0,Revenue,632885.45,EUR,Monthly
38,20240101,3,3.0,Operating Margin,38.16,Percent,Monthly
39,20240101,3,4.0,Revenue,589785.27,EUR,Monthly
40,20240101,3,4.0,Operating Margin,29.3,Percent,Monthly
41,20240101,3,5.0,Revenue,393649.89,EUR,Monthly
42,20240101,3,5.0,Operating Margin,22.47,Percent,Monthly
43,20240101,3,6.0,Revenue,153164.65,EUR,Monthly
44,20240101,3,6.0,Operating Margin,35.27,Percent,Monthly
45,20240101,3,7.0,Revenue,311725.89,EUR,Monthly
46,20240101,3,7.0,Operating Margin,29.39,Percent,Monthly
47,20240101,3,8.0,Revenue,239300.12,EUR,Monthly
48,20240101,3,8.0,Operating Margin,29.77,Percent,Monthly
49,20240101,4,1.0,Revenue,65379.35,EUR,Monthly
50,20240101,4,1.0,Operating Margin,42.0,Percent,Monthly
51,20240101,4,2.0,Revenue,80631.68,EUR,Monthly
52,20240101,4,2.0,Operating Margin,37.89,Percent,Monthly
53,20240101,4,3.0,Revenue,431866.33,EUR,Monthly
54,20240101,4,3.0,Operating Margin,39.86,Percent,Monthly
55,20240101,4,4.0,Revenue,338727.22,EUR,Monthly
56,20240101,4,4.0,Operating Margin,26.77,Percent,Monthly
57,20240101,4,5.0,Revenue,255777.98,EUR,Monthly
58,20240101,4,5.0,Operating Margin,18.8,Percent,Monthly
59,20240101,4,6.0,Revenue,95983.03,EUR,Monthly
60,20240101,4,6.0,Operating Margin,36.72,Percent,Monthly
61,20240101,4,7.0,Revenue,189900.44,EUR,Monthly
62,20240101,4,7.0,Operating Margin,28.16,Percent,Monthly
63,20240101,4,8.0,Revenue,139561.62,EUR,Monthly
64,20240101,4,8.0,Operating Margin,28.24,Percent,Monthly
65,20240101,5,1.0,Revenue,26730.64,EUR,Monthly
66,20240101,5,1.0,Operating Margin,35.82,Percent,Monthly
67,20240101,5,2.0,Revenue,34612.61,EUR,Monthly
68,20240101,5,2.0,Operating Margin,28.69,Percent,Monthly
69,20240101,5,3.0,Revenue,173036.42,EUR,Monthly
70,20240101,5,3.0,Operating Margin,35.91,Percent,Monthly
71,20240101,5,4.0,Revenue,153694.88,EUR,Monthly
72,20240101,5,4.0,Operating Margin,14.99,Percent,Monthly
73,20240101,5,5.0,Revenue,107458.55,EUR,Monthly
74,20240101,5,5.0,Operating Margin,9.0,Percent,Monthly
75,20240101,5,6.0,Revenue,43112.12,EUR,Monthly
76,20240101,5,6.0,Operating Margin,28.24,Percent,Monthly
77,20240101,5,7.0,Revenue,81301.47,EUR,Monthly
78,20240101,5,7.0,Operating Margin,17.07,Percent,Monthly
79,20240101,5,8.0,Revenue,59741.11,EUR,Monthly
80,20240101,5,8.0,Operating Margin,16.38,Percent,Monthly
81,20240201,1,1.0,Revenue,197510.48,EUR,Monthly
82,20240201,1,1.0,Operating Margin,37.31,Percent,Monthly
83,20240201,1,2.0,Revenue,255247.31,EUR,Monthly
84,20240201,1,2.0,Operating Margin,32.63,Percent,Monthly
85,20240201,1,3.0,Revenue,1268311.79,EUR,Monthly
86,20240201,1,3.0,Operating Margin,34.3,Percent,Monthly
87,20240201,1,4.0,Revenue,1120891.06,EUR,Monthly
88,20240201,1,4.0,Operating Margin,23.38,Percent,Monthly
89,20240201,1,5.0,Revenue,782169.43,EUR,Monthly
90,20240201,1,5.0,Operating Margin,15.2,Percent,Monthly
91,20240201,1,6.0,Revenue,290286.99,EUR,Monthly
92,20240201,1,6.0,Operating Margin,29.65,Percent,Monthly
93,20240201,1,7.0,Revenue,616723.15,EUR,Monthly
94,20240201,1,7.0,Operating Margin,26.52,Percent,Monthly
95,20240201,1,8.0,Revenue,454789.19,EUR,Monthly
96,20240201,1,8.0,Operating Margin,21.93,Percent,Monthly
97,20240201,2,1.0,Revenue,143501.31,EUR,Monthly
98,20240201,2,1.0,Operating Margin,42.0,Percent,Monthly
99,20240201,2,2.0,Revenue,176588.18,EUR,Monthly
100,20240201,2,2.0,Operating Margin,42.0,Percent,Monthly
101,20240201,2,3.0,Revenue,919948.1,EUR,Monthly
102,20240201,2,3.0,Operating Margin,40.98,Percent,Monthly
103,20240201,2,4.0,Revenue,758553.72,EUR,Monthly
104,20240201,2,4.0,Operating Margin,34.14,Percent,Monthly
105,20240201,2,5.0,Revenue,576817.36,EUR,Monthly
106,20240201,2,5.0,Operating Margin,37.97,Percent,Monthly
107,20240201,2,6.0,Revenue,223548.52,EUR,Monthly
108,20240201,2,6.0,Operating Margin,39.11,Percent,Monthly
109,20240201,2,7.0,Revenue,420643.33,EUR,Monthly
110,20240201,2,7.0,Operating Margin,38.7,Percent,Monthly
111,20240201,2,8.0,Revenue,315195.64,EUR,Monthly
112,20240201,2,8.0,Operating Margin,35.23,Percent,Monthly
113,20240201,3,1.0,Revenue,110632.67,EUR,Monthly
114,20240201,3,1.0,Operating Margin,42.0,Percent,Monthly
115,20240201,3,2.0,Revenue,127039.52,EUR,Monthly
116,20240201,3,2.0,Operating Margin,42.0,Percent,Monthly
117,20240201,3,3.0,Revenue,665444.01,EUR,Monthly
